Title,Director,Cast,Genre,Producer,Vote,Vote Counts,Year,Overview
Peiyena Peiyum Kurudhi,Sudhakar Shanmugam,"Jana, Seenivasan, Harish, Ganeshan, Robin",Thriller,Lion Hunters Productions,4.5,28,2017,"A thriller film directed by Sudhakar Shanmugam, starring Ganeshan and Jana in the lead roles."
Soorathengai,Sanjeev Srinivas Kanna,"Arvind Vinod, Eugina Samanthi, Theni Murugan",Action masala,Maruthi Films International,5.2,35,2017,"Soorathengai is the Tamil film featuring Guru Aravind, Samanthi, Theni Murugan and Kadhal Kamakshi. Sanjeev Srinivasan directed the film and Shakthi produced the film under the banner Maruthi Films International. Mahesh Panchanathan is the music composer."
Unnai Thottu Kolla Vaa,Krishnakumar,"Powerstar Srinivasan, Livingston, Ganja Karuppu",Horror,Kavibharathi Creations,4.6,40,2017,"The movie is directed by Andal Ramesh and featured Anu Mohan, Nellai Siva and Anjana Sukhani as lead characters. Other popular actors who were roped in for Unnai Thottu Kolla Vaa are G. Silambarasan."
Bairavaa,Bharathan,"Vijay, Keerthy Suresh, Sathish, Jagapati Babu, Daniel Balaji",Action masala,Vijaya Productions,7,120,2017,"The film stars Vijay and Keerthy Suresh in the lead roles, while Sathish, Jagapathi Babu, Daniel Balaji, Mime Gopi, Sriman and Sija Roseamongst others play supporting roles. The music is composed by Santhosh Narayanan, the cinematography is handled by M. Sukumar and the film is edited by Praveen K. L."
Koditta Idangalai Nirappuga,Parthiban,"Shanthanu Bhagyaraj, Parvatii Nair, Parthiban, Thambi Ramaiah",Comedy thriller,Reel Estate Company & Bioscope Film Frames,7,29,2017,"RadhakrishnanParthiban’s films can be hit-and-miss affairs (mostly the latter because of his indulgences). His previous film, Kathai Thiraikathai Vasanam Iyakkam, worked very well as a quirky meta film. Koditta Idangalai Nirappuga is largely a miss, hitting the right notes only towards the end. It’s a hedonistic romantic drama with a climactic twist that lacks the zing such a genre-bending film needs."
Sivappu Enakku Pidikkum,Youreka,"Sandra Amy, Youreka",Drama,JSK Film Corporation & Youreka Film School,4.1,15,2017,"Director Youreka’s latest outing Sivappu Enakku Pidikkum has garnered more expectation on the film ever since the film has been discussed on online platforms. The film was completed two and half years ago, but wasn’t released yet. It is because of the controversial subject that the film is dealing with and finally the film will see the light of the day."
Adhe Kangal,Rohin Venkatesan,"Kalaiyarasan, Sshivada, Janani Iyer, Bala Saravanan",Crime thriller,Thirukumaran Entertainment,7.3,26,2017,"Adhe Kangal takes some time to pick up, and for a while, it is content at being a triangular romance. The pacing and the rhythm seem off in these portions, and we are unsure where things are headed. But then, the film turns into an investigative thriller. And slowly, propped by Ghibran’s score, the director and the film start finding their feet."
Bogan,Lakshman,"Jayam Ravi, Arvind Swamy, Hansika Motwani, Varun, Akshara Gowda",Supernatural thriller,Prabhu Deva Studios,6.8,56,2017,"It's funny that sometimes you expect something from a film after watching its teaser/trailer. But when you are at the theatre, it's a different ballgame altogether. Lakshman's Bogan is one such film, to begin with"
Enakku Vaaitha Adimaigal,Mahendran Rajamani,"Jai, Pranitha, Karunakaran, Kaali Venkat",Comedy,Vansan Movies,6.3,120,2017,"Enakku Vaaitha Adimaigal feels like a spiritual cousin to Kappal, which released a couple of years ago. In that film, we had three guys who were hell bent on breaking up the romance of their friend, and putting him in all sorts of trouble."
Si3,Hari,"Suriya, Shruti Haasan, Anushka Shetty, Thakur Anoop Singh",Action masala,Studio Green,7.8,134,2017,"A reputed cop from Tamil Nadu takes charge in Andhra Pradesh to solve the mysterious murder of a top police officer, and takes on local thugs and criminals during the course of his mission."
Pragamiyam,Prathap,"Prathap, Parvathy, Subha",Drama,Steel Toe Productions,8.2,74,2017,"Pragamiyam is a combination of art, directorial and commercial elements. While the film talks about love, it is from the subconscious mind. Also, it explores the relationship between a father and son by comparing them to the ruling government and people respectively."
Ennodu Vilayadu,Arun Krishnaswami,"Bharath, Kathir, Chandini Tamilarasan, Sanchita Shetty",Thriller drama,Toronto Reels & Reyan Studios,7.1,98,2017,"A compulsive gambler learns about a horse race that is going to be fixed, and tries to capitalise on it. Meanwhile, his friend gets into trouble over a bag containing Rs 50 lakh cash."
Kadhal Kan Kattuthe,Shivaraj,"KG, Athulya, Aneeruth",Romance,Kovai Film Mates,7.5,135,2017,"t’s always a pleasant surprise when a small film manages to punch above its weight. This refreshing little romance does this in an impressive manner, even while ticking all the genre indispensables. The film revolves around an ordinary boy and a girl, Shiva (KG) and Athulya (Athulya)."
Pagadi Aattam,Ram K. Chandran,"Rahman, Akhil, Gowri Nandha",Thriller,Bharani Movies & Marram Movies,5.5,25,2017,"Suriya is a spoiled brat who deceives girls in the name of romance. Born in a rich family, blessed with a pleasing look and charming behaviour, winning girls’ love is an effortless thing for him. Hailing from a middle-class family, Kousalya is one among such girls who falls into his trap."
Rum,Sai Bharath,"Hrishikesh, Sanchita Shetty, Narain, Miya",Horror,All In Pictures,6.2,156,2017,"Right from its opening scene, in which a couple of random men walk into a dilapidated house in the wilderness and die at the hands of a supernatural power, everything in Rum, a by-the-numbers horror comedy, feels so been there seen that. We have a group of people which goes into a forest and gets trapped in this house."
Kanavu Variyam,Arun Chidambaram,"Arun Chidambaram, Jiya Shankar, Yog Japee",Drama,DCKAP Cinemas,7.6,123,2017,"As more and more films of late have been set against urban backdrop, narrating the stories of people in cities, hardly do we come across the innocence and virtue associated with the lives in villages."
Muthuramalingam,Rajadurai,"Gautham Karthik, Priya Anand, Napoleon",Action masala,Global Media Works,7.4,157,2017,"After watching the trailer and posters of Muthuramalingam, guess one knows what to expect from the film – a masala pot-boiler set in a rural milieu, with predictable moments, involving ample (or more) heroism, over-the-top dialogues and fights, done-to-death romance, not-so-effective family sentiments, tedious villains, and more."
Yaman,Jeeva Shankar,"Vijay Antony, Miya, Thiagarajan",Political thriller,Lyca Productions & Vijay Antony Film Corporation,6.4,356,2017,"In a malicious world of ruthless politicians and gangsters, a common man develops a dream to make it big in politics and takes on a few big shots."
Kuttram 23,Arivazhagan,"Arun Vijay, Mahima Nambiar, Aravind Akash, Vamsi Krishna",Crime thriller,Ice Entertainment & Redan Studios,6.4,34,2017,A case involving the disappearance of a pregnant woman turns into a personal one for the cop who is tasked with investigating it.​
Mupparimanam,Adhirooban,"Shanthanu Bhagyaraj, Srushti Dange, Skanda Ashok",Romantic thriller,Shamayalaya Creations,5.6,72,2017,A mysterious youngster kidnaps a girl a few minutes before her wedding and takes her to a secluded place in search of answers for his questions.
Yaakkai,Kuzhandai Velappan,"Kreshna, Swathi Reddy, Prakash Raj, Guru Somasundaram",Romantic thriller,Prim Pictures,5.5,77,2017,The chairman of a multi-specialty hospital dies mysterious and the cop investigating it thinks it could be the chairman’s son. But more bodies are discovered and puzzle him. Who is behind these murders and why?
Motta Shiva Ketta Shiva,Sai Ramani,"Raghava Lawrence, Nikki Galrani, Sathyaraj, Ashutosh Rana",Action masala,Super Good Films,5.5,74,2017,A corrupt cop who has a heartbreaking childhood realises his mistakes and turns into a sincere officer to take on a dreaded criminal and his son.
Maanagaram,Lokesh Kanagaraj,"Sundeep Kishan, Sri, Regina Cassandra, Ramdoss",Action thriller,Potential Studios,8.2,98,2017,A handful of diverse characters find themselves in extraordinary situations that are interlinked with one another.
Nisabdham,Michael Arun,"Ajay, Abhinaya, Kishore, Sathanya",Drama,Miracle Pictures,6.8,135,2017,A happily married couple’s life turns into trauma after their eight-year-old daughter is raped. Will the family be able to put their lives back on track?
Bruce Lee,Prashanth Pandiraj,"G. V. Prakash Kumar, Kriti Kharbanda, Bala Saravanan",Comedy,Kenanya Films & PK Film Factory,6.3,25,2017,A cowardly youngster and his friend run for their lives with their lovers as they are being chased by a dreaded don.
Kanna Pinna,Thiya Nair,"Thiya Nair, Anjali Rao, Shiva",Comedy,SS Big Cinemas & Mehak Production,7.8,156,2017,"Kanna Pinna is a Tamil comedy movie, directed by Thiya. The cast of Kanna Pinna includes Thiya,Anjali Rao."
Kattappava Kanom,Mani Seiyon,"Sibi Sathyaraj, Aishwarya Rajesh, Chandini Tamilarasan",Comedy,WindChimes Media Entertainments,8.2,123,2017,"Mani Seiyon’s Kattappava Kanom is based on an interesting premise (on characters whose lives revolve around a Feng Sui fish), but, on the whole, it fails to create the magic of Soodhu Kavvum (2013), which was lot more wacky."
Oru Mugathirai,R. Senthilnadan,"Rahman, Suresh, Aditi Gururaj",Thriller,Sree Sai Vignesh Studios,7.1,157,2017,A psychiatric doctor is infatuated with a psychology student and turns into a psychopath!
Vaanga Vaanga,N. P. Ismail,"Vicky, Shreya Sri, Niveditha, Powerstar Srinivasan, Appukutty",Horror comedy,Friends Pictures,7.5,213,2017,"Vaanga Vaanga is a Tamil movie released on 17 March, 2017. The movie is directed by N. P. Ismail and featured Powerstar Seenivasan and Appukutty as lead characters."
1 A.M,Rahul,"Mohan, Sasvatha",Horror,RPM Cinemas & MPM Productions,5.5,354,2017,"1 A.M is a Tamil movie released on 24 March, 2017. The movie is directed by Rahul Paramahamsa and featured Mohan Prasad and Sasvatha as lead characters."
465,Sai Sathyam,"Karthik Raj, Niranjana",Horror,LPS Films,6.2,13,2017,"465 also known as Naalu Aaru Anju is an Indian Tamil horror film directed by Sai Sathyam and produced by S.L. Prabhu.[1][2][3] The film stars popular television actor Karthik, Niranjana and Manobala in the lead roles."
Dhayam,Kannan Rangaswamy,"Santhosh Prathap, Jayakumar, Aira Agarval, Aanchal Singh",Thriller,Future Film Factory International,4.3,45,2017,Eight individuals who are short-listed to be CEO of an organisation are left in a room that plays many tricks on them.
Enkitta Mothathe,Ramu Chellappa,"Natty, Rajaji, Sanchita Shetty, Parvathy Nair",Action masala,KV Films & Eros International,6.8,421,2017,"The lives of two cut-out artists, one a Rajini fan and the other a Kamal fan, witness unexpected changes when a bigwig in the town takes them on."
Kadugu,Vijay Milton,"Bharath, Rajakumaran, Subiksha, Radhika Prasidhha",Drama,Rough Note Production & Sakthi Film Factory,6.3,321,2017,A simpleton battles against an influential individual to get justice for a 14-year-old girl molested by a minister.
Paambhu Sattai,Adam Dasan,"Bobby Simha, Keerthy Suresh, Muktha",Action thriller,Manobala's Picture House & Cinema City,7.8,21,2017,A young man in need of cash to solve his personal problems gets into a tangle with a counterfeit money laundering racket.
Vaigai Express,Shaji Kailas,"R. K., Neetu Chandra, Iniya, Komal Sharma",Crime thriller,Makkal Paasarai,8.2,4,2017,"An investigative officer takes up a murder case in which three girls were killed during a train journey — each executed by different people, for different motives."
Arasakulam,Kumar Maaran,"Rathan Mouli, Nayana Nair, Rajashree",Action masala,BR Sain Films,7.1,538,2017,"Arasakulam is a Tamil movie released on 17 February, 2017. The movie is directed by Kumar Maran and featured Rathan Mouli, Nayana Nair and Rajashree as lead characters. Other popular actors who were roped in for Arasakulam are Raja Rajasimmah."
Attu,Rathan Linga,"Rishi Rithvik, Archana Ravi, Yogi Babu",Action drama,Studio 9 & Dream Icon Film Production,7.5,21,2017,‘Attu’ is probably the first ever Tamil film to document the lives of people living in the official and unofficial dump yards of North Chennai. The director claims that the film has been written based on a true incident
Dora,Doss Ramasamy,"Nayanthara, Sulile Kumar, Harish Uthaman, Thambi Ramaiah",Horror,A Sarkunam Cinemaz & Nemichand Jabak Productions,8.3,538,2017,"A father and a daughter buy a used car which is possessed by an unknown spirit which yearns for revenge, and gives sleepless nights to a cop and a bunch of criminals."
Kavan,K. V. Anand,"Vijay Sethupathi, Madonna Sebastian, T. Rajendar, Vikranth",Social thriller,AGS Entertainment,8.2,431,2017,A TV reporter rebels against the corrupt practices of his channel’s boss and tries to get justice for a couple of youngsters who are fighting against a chemical plant.
Naalu Perukku Nallathunna Ethuvum Thappila,Dinesh Selvaraj,"Karthik Raj, Shariya, Jagadeesh Kanna, Evansree",Action,Alpha Studios,6.7,234,2017,"Dinesh Selvaraj, a former assistant of Mani Ratnam debuts with a crime thriller NPNET and it is an experimental attempt made from crowd funding resources."
8 Thottakkal,Sri Ganesh,"Vettri, Aparna Balamurali, Nassar, M. S. Bhaskar",Crime thriller,Vetrivel Saravana Cinemas & Big Print Pictures Production & Sakthi Film Factory,7.7,859,2017,"A cop’s pistol gets stolen and even as the search for it gets underway, it ends up in the hands of someone who uses it to rob a bank."
Julieum 4 Perum,Satheesh Kumar,"Amudhavanan, George, Yoganand, Satheesh Kumar, Alya Mansa",Comedy,Sahana Studios,1.2,74,2017,Its a comedy move based on three youngsters
Kaatru Veliyidai,Mani Ratnam,"Karthi, Aditi Rao Hydari",Romance,Madras Talkies,6.3,98,2017,"An air force pilot and a doctor fall in love, but their contrasting personalities, especially his self-centredness, keep their relationship tense."
Senjittale En Kadhala,Ezhil Durai,"Ezhil Durai, Madhumila, Abhinaya",Romance,SB Entertainment,3.7,135,2017,"A guy who is dejected following a breakup with his girlfriend goes missing, and his family and friends launch a frantic search fearing the worst..."
Viruthachalam,Rathan Ganapathy,"Virudhagiri, Swetha, Sameera, Shireen Taha",Masala,Lakshmi Ammal Films,4.1,25,2017,"Virudhachalam is a Tamil movie released on 07 April, 2017. The movie is directed by Rattan Ganapathy and featured Nellai Siva and R.N.R. Manohar as lead characters."
Kadamban,Ragavan,"Arya, Catherine Tresa, Deepraj Rana",Action,Super Good Films,7.1,156,2017,"Kadamban tells the story of tribespeople, who try to protect their forest Kadambavanam from a heinous business tycoon."
Pa Paandi,Dhanush,"Rajkiran, Prasanna, Chaya Singh, Revathi",Drama,Wunderbar Films & K Productions,6.8,123,2017,"Slighted by his son, a former movie stunt master decides to go on a soul-searching trip that takes him back to his old flame."
Shivalinga,P. Vasu,"Raghava Lawrence, Ritika Singh, Shakthi, Vadivelu",Horror masala,Trident Arts,6.3,157,2017,A cop investigating the suspicious death of a Muslim finds out that his own wife has become possessed by the young man’s ghost!
Ilai,Binish Raj,"Swathy Narayanan, Jenish, Sujeeth",Drama,Action Reaction Productions,7.8,367,2017,A school girl in a village that doesn’t believe in women empowerment faces innumerable hurdles on the day of her final exam.
Nagarvalam,Marxx,"Yuthan Balaji, Deekshitha Manikkam, Bala Saravanan",Romantic thriller,Redcarpet Production,8.2,720,2017,"Kumar, a lorry driver, falls in love with Janani, the sister of a local gangster. The gangster approves his sister's choice. However, their dreams get shattered after an unexpected murder."
Ayyanar Veethi,Gipsy N. Rajkumar,"Yuvan, Sara Shetty, K. Bhagyaraj, Ponvannan, Chinchu Mohan",Drama,Sri Sai Shanmugar Pictures,7.1,324,2017,"A family of evil-doers is determined to bring shame to their rival, and try to exploit a rape —committed by one of their members — for this purpose!"
Baahubali: The Conclusion,S. S. Rajamouli,"Prabhas, Anushka Shetty, Rana Daggubati, Sathyaraj",Fantasy,Arka Media Works & K Productions,9.2,3932,2017,"Bhallaladeva conspires against his brother to become the king of Mahishmati. He soon gets him killed by Katappa and imprisons his wife. Years later, the son returns to avenge his father's death."
Aarambamae Attakasam,Ranga,"Lollu Sabha Jeeva, Sangeetha Bhat, Pandiarajan, Vaiyapuri",Romantic comedy,Swathi Film Circuit,5.5,56,2017,"Aarambame Attagasam is a Tamil movie released on 05 May, 2017. The movie is directed by Ranga and featured Lollu Sabha Jeeva, Pandiarajan and Vaiyapuri as lead characters."
Enga Amma Rani,Baani,"Dhansika, Varnika, Varsha",Horror drama,MK Films,6.2,264,2017,"When one of her daughters dies and the second one is diagnosed with the same illness, single mom in Malaysia takes her to a hill station, where the girl starts behaving mysteriously."
Lens,Jayaprakash Radhakrishnan,"Jayaprakash Radhakrishnan, Misha Ghoshal, Aswathy Lal",Thriller drama,Grassroot Film Company & Mini Studio,6.8,135,2017,"A sleek, hard-hitting thriller about dark realities of internet"
Mangalapuram,R. Gopal,"Yathavan, Gayathri, Delhi Ganesh, Ajay Rathnam",Horror drama,Sri Angalamman Movies,6.3,25,2017,"Mangalapuram is the dubbing version of  Kannada movie Minchina Ota. The movie revolves around two guys Bhadra (Sri Murali) who belongs to a slum and Kishore (Vijaya Raghavendra) who belongs to a middle-class neighbourhood. The two of them are always at loggerheads, thereby creating issues. In the middle of their rivalry descends a beautiful girl Lakshmi (Lakshmi Rai) from Mangalore; predictably, both fall for her"
Saravanan Irukka Bayamaen,Ezhil,"Udhayanidhi Stalin, Regina Cassandra, Soori, Srushti Dange",Comedy,Red Giant Movies,7.8,156,2017,"Udayanidhi Stalin’s latest outing Saravanan Irukka Bhayamean has all the elements of a mass entertainer - comedy, love, horror and action. But none of it works in the film. The comedy is crass, the horror makes you squirm, love is non-existent and the action is terrible."
Thirappu Vizha,K. G. Veeramani,"Jeya Anand, Manisha Jith, Manobala",Drama,Infar Films,2.1,10,2017,"Thirappu Vizha is a Tamil movie released on 12 May, 2017. The movie is directed by K. G. Veeramani and featured Jaya Anand, Manisha Jith and Manobala as lead characters."
Yeidhavan,Sakthi Rajasekaran,"Kalaiyarasan, Satna Titus, Vela Ramamoorthy",Action thriller,Friends Festival Films,7.1,157,2017,"Sakthi Rajasekaran has tried to expose a corrupt network that affects the Medical education in Tamil Nadu, in the form of an action thriller with a few twists and many characters"
Inayathalam,Shankar & Suresh,"Ganesh Venkatraman, Swetha Menon, Erode Mahesh",Crime thriller,Anugraha Art Films,3,60,2017,A team of cybercrime officials are left scratching their heads after an untraceable website starts streaming murders live on the internet.
Indira Kobai,Vijay T. Alexander,"Raju, Asha Latha, Vikki",Drama,A Na Aayum Creations,5.5,135,2017,Its a drama which has romance and comedy
Keikraan Meikkiran,Sam Immanuel,"Sabapathy, Lughna Ameer, Aadukalam Naren",Romantic comedy,Aswika Creations,2.5,25,2017,"The movie is directed by Sam Emmanuel and featured Sabapathi, Aadukalam Naren and Pandi as lead characters. Other popular actors who were roped in for Keikraan Meikkiran are Jangiri Madhumitha and Sabitha Anand."
Sangili Bungili Kadhava Thorae,Ike Radha,"Jiiva, Sri Divya, Soori, Raadhika",Horror comedy,Fox Star Studios & A for Apple Production,6.8,156,2017,A young man who wants to own a house buys a mansion and moves into it with his extended family not knowing that there is a ghost in the place.
Veera Vamsam,Bhagavathi Bala,"Selva, Anitha, Radha Ravi",Action masala,Sri Periya Nayagi Amman Films,6.3,123,2017,"Veera Vamsam is a Tamil movie released on 19 May, 2017. The movie is directed by Bhagavathi Bala and featured Bonda Mani, Nizhalgal Ravi and Radha Ravi as lead characters. Other popular actors who were roped in for Veera Vamsam are Seetha."
Brindavanam,Radha Mohan,"Arulnithi, Tanya, Vivek",Comedy drama,Vansan Movies,7.8,157,2017,"Brindhavanam is a feel-good tale of the friendship between a star and his fan, with light-hearted humour and emotional moments, some genuinely affecting and some manipulative."
Thondan,Samuthirakani,"Vikranth, Samuthirakani, Sunaina",Drama,Vasundara Devi Cine Films,8.2,367,2017,"A righteous ambulance driver rubs a politician on the wrong side, and the latter decides to teach him a lesson."
7 Naatkal,Gautham,"Shakthi, Nikesha Patel, Ganesh Venkatraman, Angana Roy",Crime thriller,Million Dollar Movies,7.1,135,2017,7 Naatkal’ a murder mystery thriller.  The story has been written by Vimal the father of Gautham and the younger brother of Vasu. 
Bongu,Taj,"Natarajan Subramaniam, Ruhi Singh, Manisha Shree",Heist thriller,RT Infinity Deal Entertainment,7.5,25,2017,"Three hi-tech burglars, who lose their jobs because of a business tycoon, set out to take revenge against him."
Munnodi,S. P. T. A. Kumar,"Harish, Yamini Bhaskar, Sijoy Varghese, Suja Varunee",Masala,Swastik Cine Vision,5.5,156,2017,"A boy grows up hating his brother and becomes an aid of a local don. The don’s relative, however, hates him. Meanwhile, a cop is waiting to take down all three."
Neethan Raja,Niranjan,"Niranjan, Gayathri, Leema",Drama,Ranjanee Cinemas,6.2,123,2017,"Neethan Raja is a Tamil movie released on 09 June, 2017. The movie is directed by Niranjaan and featured Niranjaan, Leema and Gayathry Mayoora as lead characters."
Oru Iyakkunarin Kadhal Diary,Velu Prabhakaran,"Velu Prabhakaran, Pon Swathi",Romance,JK Studios,6.8,157,2017,"Oru Iyakkunarin Kadhal Diary is a Tamil movie starring Velu Prabhakaran and Pon Swathi in prominent roles. The movie also stars Jega and Remya. It is a romance thriller directed by Velu Prabhakaran with Raghunath Manet as musician, forming part of the crew."
Oru Kidayin Karunai Manu,Suresh Sangaiah,"Vidharth, Raveena Ravi",Comedy drama,Eros International,6.3,367,2017,"People of a village go on a trip to their neighbouring village to offer a goat as a sacrifice with a newlywed couple. On a remote thoroughfare, there is an accident and a local is found dead."
Tubelight,Indra,"Indra, Adithi Krishna, Pandiarajan",Comedy,Ostrich Films,7.8,135,2017,"Laxman, a feeble young man, has no family except his brother, Bharat. He is heartbroken after a war breaks out between India and China and Bharat is drafted into the army."
Vilayattu Aarambam,"Vijay R. Anand,
A. R. Surriyan","Yuvan, Shravya, Riyaz Khan, Srinivasan",Action thriller,Mag5 Studios,8.2,25,2017,"Vilayattu Aarambam is a Tamil movie released on 02 June, 2017. The movie is directed by A. R. Surriyan, Vijay. R Anand and featured Yuvan, Riyaz Khan and Powerstar Seenivasan as lead characters. Other popular actors who were roped in for Vilayattu Aarambam are Shravya."
Rangoon,Rajkumar Periasamy,"Gautham Karthik, Sana Makbul",Crime thriller,ARM Productions & Fox Star Studios,7.1,156,2017,"The life of three youngsters, who go to Rangoon to strike a business deal, witnesses several twists and turns, for which they pay heavy price."
Sathriyan,S. R. Prabhakaran,"Vikram Prabhu, Manjima Mohan, Aishwarya Dutta",Action drama,Sathya Jyothi Films,5,123,2017,"Guna, a local boy, falls in love with Niranjana, the daughter of Samuthiram, a deceased mafia leader. However, Niranjana's family does not approve of their relationship."
Peechankai,Ashok,"R. S. Karthik, Anjali Rao, Vivek Prasanna, M. S. Bhaskar",Comedy,Team A Ventures,6.8,157,2017,"Smoodhu, a left-handed pickpocket, suffers a brain injury in an accident that leaves him with the rare condition, alien hand syndrome. His left hand starts acting on its own, leading him into trouble."
Maragadha Naanayam,A. R. K. Saravan,"Aadhi, Nikki Galrani",Fantasy adventure comedy,Axess Film Factory,7,367,2017,"Two small-time thieves who work for a jewel smuggler take up a contract to locate a cursed emerald medallion. With help from a priest, they summon three spirits to guide them on their quest."
Thangaratham,P. Balamurugan,"Vettrii, Adithi Krishna, Rajendran, Aadukalam Naren",Drama,NTC Media & V Care Productions,4.5,24,2017,"Thangaratham is a Tamil movie released on 16 June, 2017. The movie is directed by Balamurugan and featured Vetri, Adithi Krishna and Rajendran as lead characters. Other popular actors who were roped in for Thangaratham are Aadukalam Naren."
Uru,Vicky Anand,"Kalaiyarasan, Dhansika, Mime Gopi",Crime thriller,Vaiyam Medias,5.8,45,2017,"Jeevan, a famous fiction author, is distressed after his stories become outdated. To write a thriller, he visits a hill station where unexpectedly he gets entangled in a series of horrific events."
Veruli,P. Amudhavanan,"Abhishek Vinod, Archana Singh, Bhagyaraj",Thriller drama,PG Media Works,4.7,7,2017,"Veruli is a 2017 Indian Tamil-language action thriller film produced, written and directed by P. Amudhavanan. Featuring K. Bhagyaraj, Abhishek Vinod, Ravi Prakash and Archana Singh in the lead roles, the film has been edited by Gavasakarraju"
Anbanavan Asaradhavan Adangadhavan,Adhik Ravichandran,"Silambarasan, Tamannaah, Shriya Saran",Masala,Global Infotainment,2.6,67,2017,"Anbanavan Asaradhavan Adangadhavan also known as AAA, is a 2017 Award Winning Indian Tamil-language 3D Action Horror Gangster"
Vanamagan,A. L. Vijay,"Jayam Ravi, Sayyeshaa Saigal, Prakash Raj, Varun",Action adventure,Think Big Studio & Kona Film Corporation,7.8,354,2017,"An Andaman tribal who escapes from men trying to capture his people, ends up in the care of a spoilt, rich girl, who starts to fall in love with him."
Adhagappattathu Magajanangalay,Inbasekhar,"Umapathi, Reshma Rathore, Karunakaran",Comedy thriller,Silver Screen Studios,5.3,13,2017,"Adhagappattathu Magajanangalay is an Indian Tamil comedy thriller film written and directed by Inbasekhar. The film features newcomers Umapathi and Reshma Rathore in the lead roles, while Karunakaran and Aadukalam Naren play supporting roles"
Engeyum Naan Iruppen,Benny Thomas,"Prajin, Kala Kalyani",Romantic thriller,Liya Film Company,2.4,43,2017,"Engeyum Naan Iruppen is a Tamil movie released on 30 June, 2017. The movie is directed by Benny Thomas and featured Prajin and Kala Kalyani as lead characters."
Ivan Thanthiran,R. Kannan,"Gautham Karthik, Shraddha Srinath, RJ Balaji",Comedy drama,Masala Pix,6.3,421,2017,"Sathish and his friend who are engineering college dropouts expose the illegal activities of Devaraj, a corrupt minister. Post the suicide of a student, the duo use technology to seek revenge."
Ivan Yaarendru Therikiratha,S. T. Suresh Kumar,"Vishnu, Varsha Bollamma, Ishaara Nair, K. Bhagyaraj",Romantic comedy,Own Cinemas,5.5,213,2017,"Ivan Yarendru Therikiratha is a Tamil movie released on 30 June, 2017. The movie is directed by S. T. Suresh Kumar and featured Vishnu, Varsha Bollamma and Aruldas as lead characters. Other popular actors who were roped in for Ivan Yarendru Therikiratha are Ishara, Arjunan, Bhagyaraj Krishnaswamy and Bagavathi Perumal."
Yaanum Theeyavan,Prashanth G. Sekar,"Ashwin Jerome, Varsha Bollamma, Raju Sundaram",Crime thriller,Peppy Cinemas,6.3,13,2017,A husband and wife are taken hostage by a serial killer after the wife witnesses him committing a grisly murder.
Yevanavan,Natty Kumar,"Akil, Nayana, Sonia Agarwal, Vincent Asokan",Crime drama,B & B Entertainments,5.6,268,2017,Yevanan is a Tamil movie starring Sonia Agarwal and Vincent Ashokan in prominent roles. The movie also stars Delhi Ganesh. It is a drama directed by Natty Kumar.
Gemini Ganeshanum Suruli Raajanum,Odam Ilavarasu,"Atharvaa, Regina Cassandra, Aishwarya Rajesh, Pranitha, Aaditi Pohankar",Romantic comedy,Amma Creations,5.8,304,2017,"Gemini Ganeshan, a playboy, falls in love with four women and promises to marry them. Years later, his fiancee asks him to apologize to his ex-girlfriends and invites them to their wedding."
